trial_number,n_clusters,linkage,metric,combined_score,silhouette,davies_bouldin,sse,n_merge_steps,h_max,intra_dist_mean,inter_dist_mean,ratio_intra_inter,trial_duration_sec
0,10,complete,cosine,0.7846928521700701,0.9019168284364828,0.4719731199837619,54.325800137809054,299,1.999946571219784,0.010556992607640482,3.4753018521062815,0.003037719615992249,0.053411245346069336
2,8,complete,euclidean,0.7874811502632626,0.9303898877741218,0.4772139700792126,10.9963340958717,299,9.229099646234461,0.04084970124431014,4.088858012883406,0.009990491505351516,0.05118274688720703
3,15,single,manhattan,0.8570261817828866,0.9046584148591547,0.2703748717331245,4.772972919469639,299,1.5744567288925284,0.02594281880871749,3.9157408783499017,0.006625264442841071,0.05238199234008789
4,9,complete,euclidean,0.8173171468534919,0.9323577721493673,0.39068471232741,9.248111268484086,299,9.229099646234461,0.04071962761812501,4.088047591785467,0.009960654005089659,0.05264759063720703
5,15,average,cosine,0.8291215974588958,0.9128882821622252,0.34847586091629673,21.58134962201094,299,1.6216535203198947,0.00419086725019255,3.4653872423852583,0.001209350342995644,0.054671287536621094
6,12,single,manhattan,0.8528913389393014,0.9103225784293606,0.28380907331177996,8.627873815795594,299,1.5744567288925284,0.0359840052581502,3.992320153916392,0.009013306516222539,0.05138731002807617
7,10,single,euclidean,0.8579861506971911,0.9111166354267805,0.2710583684278042,34.20596194813905,299,1.4595709494062488,0.04165819756401327,4.013363737822354,0.010379870922590876,0.047342777252197266
8,7,average,euclidean,0.8207480395940928,0.9291921447150961,0.3795285521982759,17.329668236308535,299,5.919618577411063,0.04238506567962304,4.101352776469862,0.010334411105229186,0.05071425437927246
9,10,complete,euclidean,0.8192304223097628,0.9356195040276217,0.3868399225661795,5.672935943684754,299,9.229099646234461,0.009605030823714252,3.687872062838964,0.0026044913326840275,0.05152392387390137
10,5,single,euclidean,0.7412837881996234,0.7567128938935151,0.5356995052463428,311.28000310950654,299,1.4595709494062488,0.5114581974025455,4.296329628928028,0.119045380959291,0.05625605583190918
11,17,single,manhattan,0.8722516776139202,0.9158240927204709,0.23737287620378056,3.003087821676235,299,1.5744567288925284,0.025507290965293784,3.909779665612807,0.006523971463054127,0.06273818016052246
12,17,single,manhattan,0.8722516776139202,0.9158240927204709,0.23737287620378056,3.003087821676235,299,1.5744567288925284,0.025507290965293784,3.909779665612807,0.006523971463054127,0.0614771842956543
13,17,single,manhattan,0.8722516776139202,0.9158240927204709,0.23737287620378056,3.003087821676235,299,1.5744567288925284,0.025507290965293784,3.909779665612807,0.006523971463054127,0.06025552749633789
15,13,single,manhattan,0.849378507178487,0.9035479958376668,0.2896541625058572,7.2191249978094225,299,1.5744567288925284,0.035706855968298847,3.99003038226639,0.008949018565620026,0.05342388153076172
16,15,single,manhattan,0.8570261817828866,0.9046584148591547,0.2703748717331245,4.772972919469639,299,1.5744567288925284,0.02594281880871749,3.9157408783499017,0.006625264442841071,0.05659627914428711
17,13,single,cosine,0.7934733288691898,0.888338241149321,0.4386596815193158,54.268897823547334,299,0.7908555089788581,0.010539131006394106,3.4741211187780703,0.0030336107021213844,0.06098008155822754
19,14,single,manhattan,0.8526940698464684,0.9047500517360767,0.2816046829615636,5.510996712602584,299,1.5744567288925284,0.02607268137696887,3.91765519860243,0.0066551751124660705,0.0591890811920166
20,17,average,manhattan,0.8554667378278765,0.9422251218544815,0.2923991517152325,0.9321425016341723,299,6.254184010762112,0.0036499088524926623,3.6057397512020906,0.0010122496642401423,0.06551790237426758
21,17,single,manhattan,0.8722516776139202,0.9158240927204709,0.23737287620378056,3.003087821676235,299,1.5744567288925284,0.025507290965293784,3.909779665612807,0.006523971463054127,0.06460928916931152
22,16,single,manhattan,0.8543482692535266,0.9013482799719522,0.2756544113585312,4.077518427506188,299,1.5744567288925284,0.025769812430805086,3.913586873766107,0.006584704329304896,0.06414437294006348
23,16,single,manhattan,0.8543482692535266,0.9013482799719522,0.2756544113585312,4.077518427506188,299,1.5744567288925284,0.025769812430805086,3.913586873766107,0.006584704329304896,0.05864071846008301
24,14,single,manhattan,0.8526940698464684,0.9047500517360767,0.2816046829615636,5.510996712602584,299,1.5744567288925284,0.02607268137696887,3.91765519860243,0.0066551751124660705,0.0654294490814209
