trial_number,n_clusters,linkage,metric,combined_score,silhouette,davies_bouldin,sse,n_merge_steps,h_max,intra_dist_mean,inter_dist_mean,ratio_intra_inter,trial_duration_sec
0,11,single,manhattan,0.8009973237502946,0.6713236976652343,0.29436824518369925,79.17793892228222,299,2.2121797674986174,0.5968480661777278,3.6437824684885483,0.16379903886664737,0.05228424072265625
1,5,single,cosine,0.6555010389877811,0.5285838992693663,0.7181176243177839,160.51512825380155,299,0.05872668186307728,0.5437814294546445,2.3692505202845715,0.22951622245042333,0.04906129837036133
2,17,single,euclidean,0.7733275880619408,0.6027314730022868,0.33323454442087524,71.2813219667834,299,2.0397776611975584,0.5950841689097115,3.627161576969034,0.16406331956317693,0.05285143852233887
3,14,single,cosine,0.4500483149070882,0.01447197662153197,1.4441382082754206,136.91775993324651,299,0.05872668186307728,0.49025076288891656,1.858675300234606,0.2637635324614107,0.05231332778930664
5,8,complete,manhattan,0.7017011057372627,0.692243680283306,0.6408163092459334,74.45665390572997,299,9.899720974288877,0.5793936888120417,3.541046850615329,0.1636221471374197,0.052384138107299805
7,17,average,cosine,0.42851844916764187,0.028196667283696155,1.678112878492409,93.66220533282282,299,1.4499979973604185,0.4037227309031737,1.4753903121904854,0.2736379163988817,0.05527496337890625
8,7,complete,euclidean,0.7209722848225805,0.6951371504459609,0.5707329562684565,83.3235851158616,299,7.11729343829914,0.5710764850815457,3.4134794422003814,0.16730040263938245,0.0477445125579834
9,9,single,euclidean,0.8063512245468255,0.7237710446843534,0.31101572891903206,89.8386745904399,299,2.0397776611975584,0.5986393640909539,3.6553162485926474,0.16377224934265958,0.04746532440185547
10,8,average,euclidean,0.7618482293507647,0.7320424859447194,0.4526142130017914,80.68546966207143,299,4.831912980373083,0.5820189778358844,3.5627546795336764,0.16336206957474284,0.05677437782287598
11,11,single,manhattan,0.8009973237502946,0.6713236976652343,0.29436824518369925,79.17793892228222,299,2.2121797674986174,0.5968480661777278,3.6437824684885483,0.16379903886664737,0.05832672119140625
12,13,single,manhattan,0.7790400443410141,0.6191900197193485,0.3265922407443482,77.16750775342399,299,2.2121797674986174,0.596398515575076,3.6391585135109494,0.16388363226297745,0.059908390045166016
13,10,single,euclidean,0.7878375087343823,0.6614449635549178,0.3274050818115567,85.84647786436956,299,2.0397776611975584,0.597887244970065,3.650469137849091,0.1637836733834668,0.05771493911743164
14,9,single,euclidean,0.8063512245468255,0.7237710446843534,0.31101572891903206,89.8386745904399,299,2.0397776611975584,0.5986393640909539,3.6553162485926474,0.16377224934265958,0.05819439888000488
15,6,single,euclidean,0.7776534979071754,0.5275251096026387,0.26517973801501576,461.0737850043994,299,2.0397776611975584,1.215518588859929,4.813141744089778,0.25254161491343013,0.05366325378417969
16,9,complete,euclidean,0.6874185765434517,0.5124691233213061,0.5721083998857702,67.23103091294811,299,7.11729343829914,0.5671554018729048,3.3909763766692365,0.16725430639237365,0.061791419982910156
17,7,ward,euclidean,0.6417098615434603,0.47183314854495534,0.7352402032163268,56.44188996189466,299,23.49670732435429,0.35003893953977433,1.7552708351732613,0.19942161205283335,0.057088375091552734
18,13,average,euclidean,0.6948398014246583,0.4709084726296618,0.509660032086655,57.720942764565294,299,4.831912980373083,0.549521796096673,3.2189263394081857,0.17071586552599843,0.061676979064941406
19,9,single,euclidean,0.8063512245468255,0.7237710446843534,0.31101572891903206,89.8386745904399,299,2.0397776611975584,0.5986393640909539,3.6553162485926474,0.16377224934265958,0.05471515655517578
20,15,single,euclidean,0.7677640923682694,0.6035560940442795,0.35148354073021637,73.29028181334074,299,2.0397776611975584,0.5954807455882885,3.632439925267895,0.16393409329246028,0.056932926177978516
21,9,single,euclidean,0.8063512245468255,0.7237710446843534,0.31101572891903206,89.8386745904399,299,2.0397776611975584,0.5986393640909539,3.6553162485926474,0.16377224934265958,0.05779099464416504
22,9,single,euclidean,0.8063512245468255,0.7237710446843534,0.31101572891903206,89.8386745904399,299,2.0397776611975584,0.5986393640909539,3.6553162485926474,0.16377224934265958,0.05804133415222168
23,10,single,euclidean,0.7878375087343823,0.6614449635549178,0.3274050818115567,85.84647786436956,299,2.0397776611975584,0.597887244970065,3.650469137849091,0.1637836733834668,0.058057308197021484
24,7,single,euclidean,0.7937035792522704,0.5243800848796948,0.2137209313951052,460.6560204191518,299,2.0397776611975584,1.215525587669833,4.810950024642554,0.25265811979826003,0.05622529983520508
25,12,single,euclidean,0.7993411949613878,0.6570720561654053,0.290121916406471,75.77862004394963,299,2.0397776611975584,0.5960995218878121,3.6408673725513103,0.16372459111849938,0.06294107437133789
26,8,ward,euclidean,0.641259038665515,0.4633662186057389,0.7303351420263552,47.53906828126246,299,23.49670732435429,0.34171048749175337,1.7542056017125247,0.19479500416482953,0.057633161544799805
27,5,complete,euclidean,0.6617577405837615,0.691168396679237,0.8024495767500556,101.66591496394946,299,7.11729343829914,0.5723893641197875,3.4146282301245994,0.16762860421227566,0.0535578727722168
28,11,average,euclidean,0.7544571546388583,0.6545545129579887,0.4289199193943085,66.08791621400721,299,4.831912980373083,0.5786144602001098,3.5369597081601105,0.16359091082237273,0.06566476821899414
29,12,single,cosine,0.47666381215763226,0.08681812973827495,1.3264236609666087,137.80068745996044,299,0.05872668186307728,0.48904392610128944,1.8702480859369857,0.26148612570616225,0.06025242805480957
30,6,single,manhattan,0.7776534979071754,0.5275251096026387,0.2651797380150158,461.0737850043994,299,2.2121797674986174,1.215518588859929,4.813141744089778,0.25254161491343013,0.05529332160949707
31,9,single,euclidean,0.8063512245468255,0.7237710446843534,0.31101572891903206,89.8386745904399,299,2.0397776611975584,0.5986393640909539,3.6553162485926474,0.16377224934265958,0.05492210388183594
