trial_number,n_clusters,linkage,metric,combined_score,silhouette,davies_bouldin,sse,n_merge_steps,h_max,intra_dist_mean,inter_dist_mean,ratio_intra_inter,trial_duration_sec
13,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.04984712600708008
14,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.04642128944396973
15,9,average,manhattan,0.7346448212040109,0.5359761200446442,0.41361003577102173,58.023815893191276,265,5.5590194032302165,0.5457482705484394,2.8710918218864365,0.19008387902748028,0.04946494102478027
16,7,average,euclidean,0.7706785327950065,0.6708896365067557,0.3867609756923214,73.35547538031207,265,3.1742462266488802,0.6097268514031712,3.100840822379311,0.19663274780261827,0.05001091957092285
17,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.04573225975036621
19,7,average,euclidean,0.7706785327950065,0.6708896365067557,0.3867609756923214,73.35547538031207,265,3.1742462266488802,0.6097268514031712,3.100840822379311,0.19663274780261827,0.04593372344970703
20,8,average,manhattan,0.7326148363051633,0.5458351962328427,0.4280909463622446,59.33215024360995,265,5.5590194032302165,0.5460946264873715,2.8723867104207477,0.1901187693516342,0.049488067626953125
21,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.04765892028808594
22,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.04898571968078613
23,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.04714846611022949
24,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.04930830001831055
25,8,average,manhattan,0.7326148363051633,0.5458351962328427,0.4280909463622446,59.33215024360995,265,5.5590194032302165,0.5460946264873715,2.8723867104207477,0.1901187693516342,0.052353858947753906
27,7,complete,manhattan,0.7182821499139704,0.5571887807700634,0.48784650262689416,58.16128110833477,265,9.157103344342225,0.5194057792412002,2.791846865694551,0.18604379259598008,0.05535149574279785
28,6,single,euclidean,0.7350502798827744,0.41870615047753856,0.3167464293149397,452.2935912928151,265,1.4882077318433538,1.3695521289928547,3.7653461768981433,0.3637254224844514,0.04751181602478027
29,14,single,cosine,0.5139341343739237,0.23538833276661583,1.2356231729934966,50.439996932738836,265,0.12151575159369832,0.3742252673765481,1.881023090409037,0.19894772652417156,0.04939579963684082
30,5,average,euclidean,0.7507399164416751,0.7254367796319611,0.48533892510092336,90.65032713916953,265,3.1742462266488802,0.6160093409436932,3.116800518070649,0.19764156781031836,0.047391653060913086
31,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.048548221588134766
32,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.04969596862792969
33,10,average,manhattan,0.738823641174471,0.5446267606571529,0.4055504244326844,50.435581312996405,265,5.5590194032302165,0.5417314766257724,2.857575907924068,0.18957728301227605,0.06499552726745605
