status,dataset,algo,alpha,beta,gamma,silhouette,db_inv,sse_term,elapsed,silhouette_n,db_inv_n,sse_term_n
OK,clean_rayyan,DBSCAN,0.2,0.35,0.45,0.0,0.0,0.0,3.246443,0.0,0.0,0.0
OK,clean_hospital,KMEANSPPS,0.2,0.35,0.45,0.0,0.0,6.09956529729061e-13,7.351744,0.0,0.0,0.37239380456645593
OK,clean_flights,KMEANSNF,0.2,0.35,0.45,0.0,0.0,5.59996493620929e-13,35.813811,0.0,0.0,0.20933630582065174
OK,clean_rayyan,HC,0.2,0.35,0.45,0.0,0.0,0.0,3.717727,0.0,0.0,0.0
OK,clean_rayyan,GMM,0.2,0.35,0.45,0.5406882915630535,2.099066479366884,1.3905543383430086e-12,4.650376,0.9999999999981506,0.9999999999995236,0.16933639233314413
OK,clean_rayyan,KMEANS,0.2,0.35,0.45,0.0,0.0,7.211786723360092e-12,2.550646,0.0,0.0,0.8782238222096908
OK,clean_rayyan,KMEANSPPS,0.2,0.35,0.45,0.0,0.0,4.135580766728708e-12,2.297931,0.0,0.0,0.5036152187153389
OK,clean_beers,DBSCAN,0.2,0.5,0.3,0.0,0.0,0.0,2.308021,0.0,0.0,0.0
OK,clean_rayyan,KMEANSNF,0.2,0.35,0.45,0.0,0.0,3.602673714908633e-12,3.50994,0.0,0.0,0.4387198348271878
OK,clean_beers,KMEANS,0.2,0.5,0.3,0.0,0.0,5.145883719137601e-13,5.849935,0.0,0.0,0.33975460359803983
OK,clean_beers,HC,0.2,0.5,0.3,0.0,0.0,0.0,10.943975,0.0,0.0,0.0
OK,clean_beers,GMM,0.2,0.5,0.3,0.23241711174878305,0.8062802971477984,3.771427614651657e-13,13.510527,0.9999999999956973,0.9999999999987598,0.24900677204369823
OK,clean_beers,KMEANSPPS,0.2,0.5,0.3,0.0,0.0,4.3942627314663696e-13,6.551491,0.0,0.0,0.29012917390313736
OK,clean_flights,DBSCAN,0.2,0.5,0.3,0.0,0.0,0.0,4.232634,0.0,0.0,0.0
OK,clean_beers,KMEANSNF,0.2,0.5,0.3,0.0,0.0,4.3709480479492413e-13,19.478005,0.0,0.0,0.2885898326570621
OK,clean_flights,KMEANS,0.2,0.5,0.3,0.0,0.0,1.6302514893595799e-12,7.393882,0.0,0.0,0.6094160021154739
OK,clean_flights,GMM,0.2,0.5,0.3,0.47124639363747484,0.9629085640785587,6.817879594223086e-13,18.491373,0.999999999997878,0.9999999999989615,0.2548640471936206
OK,clean_flights,KMEANSPPS,0.2,0.5,0.3,0.0,0.0,1.3741230375785563e-12,10.764541,0.0,0.0,0.5136707884897317
OK,clean_hospital,DBSCAN,0.2,0.5,0.3,0.0,0.0,0.0,3.370274,0.0,0.0,0.0
OK,clean_hospital,GMM,0.2,0.5,0.3,0.3489388017572333,1.0133856724909853,5.966338534335591e-13,9.822316,0.9999999999971342,0.9999999999990131,0.36425997556245615
OK,clean_hospital,HC,0.2,0.5,0.3,0.0,0.0,0.0,9.102426,0.0,0.0,0.0
OK,clean_flights,HC,0.2,0.5,0.3,0.0,0.0,0.0,32.57496,0.0,0.0,0.0
OK,clean_hospital,KMEANS,0.2,0.5,0.3,0.0,0.0,5.878630915390204e-13,5.527484,0.0,0.0,0.35890520480148963
OK,clean_hospital,KMEANSNF,0.2,0.5,0.3,0.0,0.0,3.957945082788683e-13,6.448809,0.0,0.0,0.2416425033271597
OK,clean_rayyan,DBSCAN,0.2,0.5,0.3,0.0,0.0,0.0,2.769951,0.0,0.0,0.0
OK,clean_hospital,KMEANSPPS,0.2,0.5,0.3,0.0,0.0,6.372680161348399e-13,7.004886,0.0,0.0,0.38906815402465544
OK,clean_rayyan,GMM,0.2,0.5,0.3,0.5406882915630535,2.099066479366884,1.3905543383430086e-12,4.970942,0.9999999999981506,0.9999999999995236,0.16933639233314413
OK,clean_rayyan,HC,0.2,0.5,0.3,0.0,0.0,0.0,4.008081,0.0,0.0,0.0
OK,clean_rayyan,KMEANS,0.2,0.5,0.3,0.0,0.0,7.211786723360092e-12,3.540344,0.0,0.0,0.8782238222096908
OK,clean_flights,KMEANSNF,0.2,0.5,0.3,0.0,0.0,5.59996493620929e-13,37.093826,0.0,0.0,0.20933630582065174
OK,clean_rayyan,KMEANSPPS,0.2,0.5,0.3,0.0,0.0,3.2103208980061027e-12,3.06909,0.0,0.0,0.3909406084395366
OK,clean_beers,DBSCAN,0.2,0.65,0.15,0.0,0.0,0.0,2.832683,0.0,0.0,0.0
OK,clean_rayyan,KMEANSNF,0.2,0.5,0.3,0.0,0.0,3.602673714908633e-12,3.922435,0.0,0.0,0.4387198348271878
OK,clean_beers,KMEANS,0.2,0.65,0.15,0.0,0.0,5.145883719137601e-13,6.117863,0.0,0.0,0.33975460359803983
OK,clean_beers,GMM,0.2,0.65,0.15,0.23241711174878305,0.8062802971477984,3.771427614651657e-13,10.34604,0.9999999999956973,0.9999999999987598,0.24900677204369823
OK,clean_beers,HC,0.2,0.65,0.15,0.0,0.0,0.0,10.902174,0.0,0.0,0.0
OK,clean_beers,KMEANSPPS,0.2,0.65,0.15,0.0,0.0,4.929390229335695e-13,6.134864,0.0,0.0,0.3254607205987695
OK,clean_flights,DBSCAN,0.2,0.65,0.15,0.0,0.0,0.0,4.350992,0.0,0.0,0.0
OK,clean_beers,KMEANSNF,0.2,0.65,0.15,0.0,0.0,4.3709480479492413e-13,18.148949,0.0,0.0,0.2885898326570621
OK,clean_flights,KMEANS,0.2,0.65,0.15,0.0,0.0,1.6302514893595799e-12,7.682917,0.0,0.0,0.6094160021154739
OK,clean_flights,GMM,0.2,0.65,0.15,0.47124639363747484,0.9629085640785587,6.817879594223086e-13,20.101962,0.999999999997878,0.9999999999989615,0.2548640471936206
OK,clean_flights,KMEANSPPS,0.2,0.65,0.15,0.0,0.0,1.4548362514688051e-12,11.394701,0.0,0.0,0.5438427738845798
OK,clean_hospital,DBSCAN,0.2,0.65,0.15,0.0,0.0,0.0,3.34904,0.0,0.0,0.0
OK,clean_flights,HC,0.2,0.65,0.15,0.0,0.0,0.0,29.507926,0.0,0.0,0.0
OK,clean_hospital,HC,0.2,0.65,0.15,0.0,0.0,0.0,8.259712,0.0,0.0,0.0
OK,clean_hospital,KMEANS,0.2,0.65,0.15,0.0,0.0,5.878630915390204e-13,6.119749,0.0,0.0,0.35890520480148963
OK,clean_hospital,KMEANSNF,0.2,0.65,0.15,0.0,0.0,3.957945082788683e-13,7.446711,0.0,0.0,0.2416425033271597
OK,clean_rayyan,DBSCAN,0.2,0.65,0.15,0.0,0.0,0.0,2.763508,0.0,0.0,0.0
OK,clean_hospital,KMEANSPPS,0.2,0.65,0.15,0.0,0.0,4.2787995369053533e-13,6.681119,0.0,0.0,0.26123147484512577
OK,clean_hospital,GMM,0.2,0.65,0.15,0.3489388017572333,1.0133856724909853,5.966338534335591e-13,22.668223,0.9999999999971342,0.9999999999990131,0.36425997556245615
OK,clean_flights,KMEANSNF,0.2,0.65,0.15,0.0,0.0,5.59996493620929e-13,39.316204,0.0,0.0,0.20933630582065174
OK,clean_rayyan,GMM,0.2,0.65,0.15,0.5406882915630535,2.099066479366884,1.3905543383430086e-12,5.400243,0.9999999999981506,0.9999999999995236,0.16933639233314413
OK,clean_rayyan,KMEANS,0.2,0.65,0.15,0.0,0.0,7.211786723360092e-12,3.19951,0.0,0.0,0.8782238222096908
OK,clean_rayyan,HC,0.2,0.65,0.15,0.0,0.0,0.0,3.804938,0.0,0.0,0.0
OK,clean_rayyan,KMEANSPPS,0.2,0.65,0.15,0.0,0.0,3.0053737276602988e-12,2.327203,0.0,0.0,0.36598292538588517
OK,clean_beers,DBSCAN,0.2,0.8,0.0,0.0,0.0,0.0,2.036314,0.0,0.0,0.0
OK,clean_rayyan,KMEANSNF,0.2,0.65,0.15,0.0,0.0,3.602673714908633e-12,2.86158,0.0,0.0,0.4387198348271878
OK,clean_beers,KMEANS,0.2,0.8,0.0,0.0,0.0,5.145883719137601e-13,6.057713,0.0,0.0,0.33975460359803983
OK,clean_beers,GMM,0.2,0.8,0.0,0.23241711174878305,0.8062802971477984,3.771427614651657e-13,10.54579,0.9999999999956973,0.9999999999987598,0.24900677204369823
OK,clean_beers,HC,0.2,0.8,0.0,0.0,0.0,0.0,11.28486,0.0,0.0,0.0
OK,clean_beers,KMEANSPPS,0.2,0.8,0.0,0.0,0.0,4.604094883120524e-13,5.361448,0.0,0.0,0.3039832451178147
OK,clean_flights,DBSCAN,0.2,0.8,0.0,0.0,0.0,0.0,4.477421,0.0,0.0,0.0
OK,clean_beers,KMEANSNF,0.2,0.8,0.0,0.0,0.0,4.3709480479492413e-13,19.573833,0.0,0.0,0.2885898326570621
OK,clean_flights,KMEANS,0.2,0.8,0.0,0.0,0.0,1.6302514893595799e-12,8.996605,0.0,0.0,0.6094160021154739
OK,clean_flights,GMM,0.2,0.8,0.0,0.47124639363747484,0.9629085640785587,6.817879594223086e-13,18.648073,0.999999999997878,0.9999999999989615,0.2548640471936206
OK,clean_flights,KMEANSPPS,0.2,0.8,0.0,0.0,0.0,1.5083490012557377e-12,11.142881,0.0,0.0,0.5638467586993209
OK,clean_hospital,DBSCAN,0.2,0.8,0.0,0.0,0.0,0.0,3.692198,0.0,0.0,0.0
OK,clean_flights,HC,0.2,0.8,0.0,0.0,0.0,0.0,30.607286,0.0,0.0,0.0
OK,clean_hospital,HC,0.2,0.8,0.0,0.0,0.0,0.0,8.69377,0.0,0.0,0.0
OK,clean_hospital,GMM,0.2,0.8,0.0,0.3489388017572333,1.0133856724909853,5.966338534335591e-13,11.079928,0.9999999999971342,0.9999999999990131,0.36425997556245615
